,code,date,거래대금,시가총액
0,121800,2021-11-26,1228967,14935
1,005930,2021-11-26,944378,4316152
2,377300,2021-11-26,727452,290066
3,064260,2021-11-26,717401,10618
4,096530,2021-11-26,709556,37550
5,302440,2021-11-26,557696,213435
6,019170,2021-11-26,509700,18332
7,000660,2021-11-26,494138,840842
8,112040,2021-11-26,427816,63978
9,063080,2021-11-26,427585,11805
10,121800,2021-11-25,979344,13747
11,005930,2021-11-25,929571,4399729
12,064260,2021-11-25,918598,10687
13,377300,2021-11-25,440194,282244
14,112040,2021-11-25,423797,62212
15,000660,2021-11-25,394151,855402
16,293490,2021-11-25,370698,75515
17,035720,2021-11-25,369215,570493
18,019170,2021-11-25,344335,16610
19,003670,2021-11-25,251595,126652
20,005930,2021-11-24,1174196,4465397
21,112040,2021-11-24,793350,67144
22,000660,2021-11-24,479195,869962
23,064260,2021-11-24,473283,9652
24,019170,2021-11-24,458895,19313
25,381970,2021-11-24,391040,16686
26,096530,2021-11-24,373489,32745
27,293490,2021-11-24,258160,71930
28,121800,2021-11-24,243014,11190
29,000990,2021-11-24,241292,32410
