,code,date,time,close,open / last close,high / close,low / close,close / last close,pvolume / last pvolume,close / MA5close,close / MA10close,close / MA20close,close / MA60close,close / MA120close,pvolume / MA5pvolume,pvolume / MA10pvolume,pvolume / MA20pvolume,pvolume / MA60pvolume,pvolume / MA120pvolume,acc_ratio,MA3acc_ratio
0,096770,2021-08-03,0 days 00:15:17,253000,0.9980237154150198,1.0,0.9980237154150198,1.0,1.403792677274834,1.0,0.9996048992493086,0.9996048992493086,0.998914223669924,0.9983558040118382,0.5693381035325371,0.7279445634976267,0.9418358634575096,1.5796919310267397,1.7532962438898894,69.05726021340222,69.34509897128835
1,096770,2021-08-03,0 days 00:15:18,253000,0.9980237154150198,1.0,0.9980237154150198,1.0,3.65446941975954,1.0,0.9996048992493086,0.9996048992493086,0.9989470913398263,0.9983722192078134,1.6399087382620268,2.224121764174006,3.0381886467916135,5.285267879643163,6.092738014421224,71.17571156616886,69.8719576586025
2,096770,2021-08-03,0 days 00:15:19,253000,0.9980237154150198,1.0,0.9980237154150198,1.0,0.28090251375829073,1.0,0.9996048992493086,0.9996048992493086,0.9989799611727156,0.9984050512192315,0.6652237321133762,0.6187450976490274,0.8326062458857264,1.4577761802528995,1.6925974943550977,71.42470002825299,70.55255726927459
3,096770,2021-08-03,0 days 00:15:20,253000,0.9980237154150198,1.0,0.9980237154150198,1.0,4.735983061749571,1.0,0.9996048992493086,0.9996048992493086,0.9990128331688055,0.9984378853901176,2.1597867456714797,2.375433860911787,3.349651072089653,6.214358058208725,7.552473554866973,74.19683542854526,72.2657490076556
4,096770,2021-08-03,0 days 00:15:30,253000,1.0,1.0,1.0,1.0,2.7364650357367197,1.0,0.9998024105907923,0.9996048992493086,0.9990457073283097,0.9984543032854277,2.7894733805977467,4.059896226890333,6.463102251121885,13.294756738799215,17.658134244150872,85.04785784616794,76.8897977676553
5,096770,2021-08-04,0 days 00:09:01,245500,0.9881422924901185,1.0183299389002036,0.9959266802443992,0.9703557312252964,3.00140003887848,0.9761431411530815,0.9732408325074331,0.9715077166600712,0.9699404075988542,0.9691267661233284,3.1803336811644,5.580052465183088,9.895387212538125,24.090532602326807,36.817187007513226,158.76116846442295,106.00195391304528
6,096770,2021-08-04,0 days 00:09:02,245500,1.0,1.0040733197556009,0.9979633401221996,1.0,0.6018185814458391,0.982,0.9761431411530815,0.9729515505796096,0.970451625654709,0.9693818792056729,1.4449705199213865,2.548456264849218,4.612245566103045,11.712731334657322,18.727895369360184,129.06490318378798,124.29130983145951
7,096770,2021-08-04,0 days 00:09:03,242000,1.0,1.0144628099173554,1.0,0.9857433808553971,1.1193783273226858,0.976594027441485,0.9664536741214057,0.9611756528646609,0.9573415968879805,0.9559234997860364,1.2336273770821509,2.304187181669839,4.129427334599968,10.780469212867335,17.861133899756986,97.40939637585504,128.41182267468855
8,096770,2021-08-04,0 days 00:09:04,244000,1.0041322314049588,1.0020491803278688,0.9918032786885246,1.0082644628099173,0.6433819054720109,0.991869918699187,0.9779559118236473,0.9708544713020989,0.9658266262039846,0.964141064901709,0.7123779876823504,1.3039380276633492,2.3526023818188,6.222961900539463,10.49149778191525,98.07404425546903,108.18278127170392
9,096770,2021-08-04,0 days 00:09:05,242000,1.0,1.0082644628099173,0.9979338842975206,0.9918032786885246,1.60833831440526,0.992616899097621,0.9742351046698873,0.9651046859421735,0.9586373089492622,0.956616266429489,1.0233281788735118,1.741331868743919,3.2105199440924084,8.586582889587817,14.807798819124338,81.20592864876669,92.22978976003016
10,096770,2021-08-04,0 days 00:09:06,241500,1.0,1.0062111801242235,0.9979296066252588,0.9979338842975206,0.7134904647719433,0.9938271604938271,0.9767441860465116,0.9653242730088938,0.9574151772440451,0.9550330372884707,0.8565366848648309,1.1113047478321325,2.063954352793707,5.563621355216198,9.718558077436583,76.97967385423911,85.41988225282485
11,096770,2021-08-04,0 days 00:09:07,241500,1.0,1.0020703933747412,0.9958592132505176,1.0,0.8587997018787733,0.9971098265895953,0.9813084112149533,0.9675480769230769,0.9581749049429659,0.9554266121587762,0.7826834160170272,0.8878115524285682,1.6357213372836192,4.4291718177646136,7.810255111088061,75.70201758923952,77.96254003074834
12,096770,2021-08-04,0 days 00:09:08,242000,1.0,1.0,0.993801652892562,1.0020703933747412,0.6437763740305326,0.9991742361684558,0.9877551020408163,0.9716924312387071,0.9608576249875922,0.9577836411609499,0.5900896811524089,0.5433977503514225,1.004333080883799,2.7235255915206373,4.83263370332997,76.49171432475163,76.39113525607667
13,096770,2021-08-04,0 days 00:09:09,238500,0.9979338842975206,1.0146750524109014,0.9979035639412998,0.9855371900826446,3.7771783660531955,0.9892160929075072,0.979265037979881,0.9604349139232861,0.9478704378353315,0.9443986140900842,1.7692894359035993,1.7376619274758565,3.2008490848683557,8.793564990311706,15.85532828389513,58.05328489252195,70.08233893550428
14,096770,2021-08-04,0 days 00:09:10,239000,1.0,1.002092050209205,0.9937238493723849,1.0020964360587001,0.6215709544509845,0.9937629937629938,0.9869915341730332,0.9652665589660743,0.9507392428561957,0.9468315148313827,1.119375846858985,1.026431074782352,1.8159280465433443,5.013052637135617,9.116108922727422,61.41293540940804,65.31931154222713
15,096770,2021-08-04,0 days 00:09:11,238000,1.0,1.0063025210084033,1.0,0.99581589958159,0.7589342030696198,0.9924937447873228,0.9859154929577465,0.964245923224957,0.9477351916376306,0.9433526011560694,0.85171842519172,0.8477365038488393,1.294187383113957,3.5815572563990017,6.5484138811680905,58.469520103761354,59.311913468563695
